,creation_source,opted_in_to_mailing_list,enabled_for_marketing_drip,org_id,email_domain,prev exp,no. of visits,result,inv_user_status,cr_year,cr_mon,week_no,day
0,GUEST_INVITE,1,0,11,yahoo.com,0,1,False,False,2014,04,week4,Tuesday
1,ORG_INVITE,0,0,1,gustr.com,0,14,True,False,2013,11,week3,Friday
2,ORG_INVITE,0,0,94,gustr.com,0,1,False,True,2013,03,week3,Tuesday
3,GUEST_INVITE,0,0,1,yahoo.com,1,1,False,True,2013,05,week3,Tuesday
4,GUEST_INVITE,0,0,193,yahoo.com,0,1,False,True,2013,01,week3,Thursday
5,GUEST_INVITE,0,0,197,yahoo.com,0,1,False,False,2013,12,week3,Tuesday
6,SIGNUP,0,1,37,jourrapide.com,0,1,False,uninvited,2012,12,week3,Sunday
7,PERSONAL_PROJECTS,1,1,74,yahoo.com,0,0,False,uninvited,2013,07,week5,Wednesday
8,PERSONAL_PROJECTS,0,0,302,hotmail.com,0,0,False,uninvited,2013,11,week1,Tuesday
9,ORG_INVITE,1,1,318,gustr.com,0,284,True,True,2013,01,week3,Wednesday
10,SIGNUP,0,0,69,gustr.com,0,1,False,uninvited,2013,12,week4,Thursday
11,ORG_INVITE,0,0,130,cuvox.de,0,0,False,False,2014,04,week3,Thursday
12,ORG_INVITE,0,0,254,cuvox.de,0,1,False,False,2014,03,week5,Sunday
13,SIGNUP,0,0,0,gmail.com,0,1,False,uninvited,2012,10,week2,Thursday
14,PERSONAL_PROJECTS,0,0,175,hotmail.com,0,0,False,uninvited,2013,07,week3,Tuesday
15,PERSONAL_PROJECTS,0,0,211,hotmail.com,0,0,False,uninvited,2013,02,week2,Monday
16,GUEST_INVITE,1,0,175,jourrapide.com,0,1,False,False,2014,04,week2,Wednesday
17,GUEST_INVITE,0,0,2,jourrapide.com,0,0,False,False,2013,08,week4,Saturday
18,SIGNUP,1,0,0,gmail.com,0,2,False,uninvited,2013,05,week4,Friday
19,SIGNUP,0,0,58,uhzdq.com,0,7,True,uninvited,2014,03,week1,Thursday
20,PERSONAL_PROJECTS,0,0,54,gmail.com,0,1,False,uninvited,2013,01,week4,Tuesday
21,ORG_INVITE,0,0,7,gmail.com,0,1,False,False,2014,02,week2,Monday
22,ORG_INVITE,1,0,6,gustr.com,0,1,False,False,2012,08,week3,Friday
23,SIGNUP,1,0,123,cuvox.de,0,1,False,uninvited,2013,09,week2,Monday
24,GUEST_INVITE,1,0,81,jourrapide.com,0,2,False,True,2014,02,week4,Tuesday
25,ORG_INVITE,0,0,56,jourrapide.com,0,0,False,True,2013,07,week4,Sunday
26,ORG_INVITE,0,0,134,gmail.com,0,1,False,False,2014,01,week2,Tuesday
27,SIGNUP,0,0,6,jourrapide.com,0,1,False,uninvited,2013,02,week2,Monday
28,SIGNUP,0,0,92,jourrapide.com,0,1,False,uninvited,2013,09,week3,Monday
29,GUEST_INVITE,0,0,251,jourrapide.com,0,1,False,True,2013,06,week1,Tuesday
30,SIGNUP,0,0,283,jourrapide.com,0,1,False,uninvited,2014,01,week4,Thursday
31,PERSONAL_PROJECTS,1,1,98,yahoo.com,0,0,False,uninvited,2013,04,week3,Wednesday
32,GUEST_INVITE,0,0,401,cuvox.de,0,18,True,False,2014,03,week2,Tuesday
33,ORG_INVITE,0,0,33,hotmail.com,0,0,False,False,2014,02,week1,Monday
34,PERSONAL_PROJECTS,0,0,59,gustr.com,0,0,False,uninvited,2013,08,week1,Thursday
35,GUEST_INVITE,1,0,109,cuvox.de,0,1,False,False,2013,08,week1,Tuesday
36,SIGNUP,0,0,276,yahoo.com,0,1,False,uninvited,2012,09,week4,Tuesday
37,PERSONAL_PROJECTS,0,0,208,gmail.com,0,0,False,uninvited,2014,05,week4,Sunday
38,ORG_INVITE,1,0,332,cuvox.de,1,0,False,False,2013,09,week2,Tuesday
39,GUEST_INVITE,0,0,2,gmail.com,0,0,False,False,2014,05,week4,Monday
40,ORG_INVITE,0,0,64,hotmail.com,0,1,False,True,2014,04,week5,Wednesday
41,SIGNUP,1,0,235,cuvox.de,0,342,True,uninvited,2012,11,week2,Sunday
42,GUEST_INVITE,0,0,63,yyyxt.com,0,8,True,False,2012,12,week5,Monday
43,SIGNUP,0,0,14,jourrapide.com,0,1,False,uninvited,2014,05,week4,Wednesday
44,SIGNUP_GOOGLE_AUTH,1,0,4,gmail.com,0,1,False,uninvited,2014,04,week5,Tuesday
45,ORG_INVITE,0,0,127,yahoo.com,0,1,False,False,2014,01,week1,Wednesday
46,ORG_INVITE,1,1,32,yahoo.com,0,1,False,False,2012,06,week1,Thursday
47,ORG_INVITE,0,0,224,cslyn.com,0,1,False,False,2013,11,week1,Sunday
48,SIGNUP,0,0,304,hotmail.com,0,1,False,uninvited,2013,10,week2,Sunday
49,GUEST_INVITE,0,0,61,gmail.com,0,17,True,True,2012,06,week1,Sunday
50,ORG_INVITE,0,1,0,yahoo.com,0,1,False,False,2013,08,week4,Thursday
51,PERSONAL_PROJECTS,0,0,0,yahoo.com,0,0,False,uninvited,2014,04,week1,Monday
52,GUEST_INVITE,0,0,37,gmail.com,0,9,True,True,2013,02,week2,Saturday
53,GUEST_INVITE,1,1,51,hotmail.com,0,1,False,False,2013,03,week3,Sunday
54,SIGNUP_GOOGLE_AUTH,0,0,229,gmail.com,0,1,False,uninvited,2012,07,week3,Wednesday
55,GUEST_INVITE,0,0,229,gmail.com,0,1,False,False,2013,12,week1,Sunday
56,GUEST_INVITE,0,0,88,gmail.com,0,1,False,False,2013,11,week3,Monday
57,ORG_INVITE,1,0,304,jourrapide.com,0,1,False,False,2013,01,week4,Monday
58,SIGNUP_GOOGLE_AUTH,0,0,325,gmail.com,1,3,False,uninvited,2014,03,week1,Friday
59,ORG_INVITE,0,0,88,gmail.com,0,8,True,True,2014,03,week3,Friday
60,SIGNUP_GOOGLE_AUTH,0,0,150,gmail.com,0,1,False,uninvited,2014,05,week2,Wednesday
61,SIGNUP,0,0,347,yahoo.com,0,0,False,uninvited,2013,07,week2,Tuesday
62,SIGNUP_GOOGLE_AUTH,0,0,203,gmail.com,0,362,True,uninvited,2012,12,week3,Thursday
63,SIGNUP,0,0,21,xhtxh.com,0,1,False,uninvited,2014,03,week2,Thursday
64,SIGNUP_GOOGLE_AUTH,0,0,409,gmail.com,0,1,False,uninvited,2013,08,week4,Tuesday
65,ORG_INVITE,0,0,215,yahoo.com,0,1,False,False,2014,02,week1,Monday
66,ORG_INVITE,0,0,141,gmail.com,0,1,False,False,2014,04,week4,Wednesday
67,SIGNUP_GOOGLE_AUTH,1,0,5,gmail.com,0,1,False,uninvited,2014,01,week4,Wednesday
68,GUEST_INVITE,0,0,107,gustr.com,0,521,True,False,2012,06,week5,Friday
69,GUEST_INVITE,0,0,184,gmail.com,0,0,False,False,2014,05,week5,Friday
70,PERSONAL_PROJECTS,0,0,310,gmail.com,0,0,False,uninvited,2013,12,week1,Sunday
71,SIGNUP,0,0,367,yahoo.com,1,1,False,uninvited,2013,08,week3,Wednesday
72,ORG_INVITE,0,0,389,jourrapide.com,0,1,False,False,2013,04,week3,Tuesday
73,SIGNUP_GOOGLE_AUTH,0,0,89,gmail.com,0,59,True,uninvited,2013,01,week2,Monday
74,SIGNUP,0,0,242,cuvox.de,1,1,False,uninvited,2014,01,week4,Saturday
75,SIGNUP,1,1,51,aethf.com,0,1,False,uninvited,2014,05,week3,Saturday
76,SIGNUP,1,1,68,jourrapide.com,0,3,False,uninvited,2012,12,week3,Thursday
77,PERSONAL_PROJECTS,1,0,16,tmfog.com,0,1,False,uninvited,2012,06,week4,Thursday
78,GUEST_INVITE,0,0,401,gmail.com,0,0,False,False,2013,05,week5,Wednesday
79,ORG_INVITE,1,1,49,jourrapide.com,0,8,True,False,2014,02,week4,Friday
80,PERSONAL_PROJECTS,1,0,185,yahoo.com,0,78,True,uninvited,2013,06,week4,Wednesday
81,GUEST_INVITE,0,0,91,gmail.com,0,205,True,False,2013,02,week2,Tuesday
82,ORG_INVITE,1,0,172,cuvox.de,1,1,False,False,2013,01,week4,Saturday
83,ORG_INVITE,0,0,8,gmail.com,0,1,False,False,2014,01,week4,Tuesday
84,ORG_INVITE,1,1,43,yahoo.com,0,1,False,False,2013,08,week3,Friday
85,ORG_INVITE,0,0,249,jourrapide.com,0,1,False,True,2012,11,week2,Sunday
86,SIGNUP,1,0,26,jourrapide.com,1,104,True,uninvited,2013,09,week2,Wednesday
87,SIGNUP,0,0,139,yahoo.com,0,1,False,uninvited,2012,08,week3,Thursday
88,SIGNUP,0,0,70,cuvox.de,0,1,False,uninvited,2012,08,week1,Tuesday
89,ORG_INVITE,0,0,10,jourrapide.com,0,1,False,False,2013,08,week1,Wednesday
90,SIGNUP,0,0,252,yahoo.com,0,1,False,uninvited,2013,03,week3,Tuesday
91,SIGNUP_GOOGLE_AUTH,0,0,91,gmail.com,0,1,False,uninvited,2013,02,week4,Sunday
92,ORG_INVITE,0,0,53,yahoo.com,0,0,False,False,2012,09,week2,Monday
93,SIGNUP,0,0,69,gustr.com,0,2,False,uninvited,2013,06,week1,Tuesday
94,PERSONAL_PROJECTS,0,0,119,gmail.com,0,5,False,uninvited,2014,03,week2,Sunday
95,ORG_INVITE,0,0,130,gmail.com,1,2,False,False,2014,03,week2,Wednesday
96,SIGNUP_GOOGLE_AUTH,0,0,3,gmail.com,0,1,False,uninvited,2013,10,week1,Wednesday
97,ORG_INVITE,0,0,196,jourrapide.com,0,1,False,False,2014,05,week2,Tuesday
98,ORG_INVITE,0,1,335,yahoo.com,0,1,False,False,2012,09,week4,Wednesday
99,ORG_INVITE,0,0,375,qrmhc.com,0,1,False,False,2013,06,week2,Friday
100,GUEST_INVITE,0,0,303,cuvox.de,0,1,False,False,2013,08,week3,Thursday
101,PERSONAL_PROJECTS,0,0,307,gustr.com,0,0,False,uninvited,2013,03,week5,Friday
102,GUEST_INVITE,1,1,25,jourrapide.com,0,1,False,False,2012,12,week1,Sunday
103,PERSONAL_PROJECTS,0,1,370,jourrapide.com,1,0,False,uninvited,2014,05,week2,Friday
104,ORG_INVITE,1,1,134,gmail.com,0,1,False,False,2012,11,week4,Friday
105,PERSONAL_PROJECTS,0,0,83,cuvox.de,0,1,False,uninvited,2012,09,week4,Saturday
106,SIGNUP,0,0,27,yahoo.com,0,1,False,uninvited,2013,09,week3,Friday
107,GUEST_INVITE,1,0,306,jourrapide.com,0,0,False,True,2013,04,week3,Tuesday
108,SIGNUP,1,0,118,gustr.com,0,1,False,uninvited,2012,08,week4,Tuesday
109,ORG_INVITE,0,0,295,yahoo.com,0,1,False,False,2013,11,week1,Friday
110,SIGNUP,0,0,19,gustr.com,0,1,False,uninvited,2013,08,week5,Saturday
111,ORG_INVITE,0,0,301,qiuyl.com,0,1,False,False,2012,12,week2,Sunday
112,SIGNUP,0,0,100,gmail.com,0,1,False,uninvited,2014,04,week4,Thursday
113,GUEST_INVITE,0,0,112,yahoo.com,0,1,False,False,2014,05,week5,Friday
114,GUEST_INVITE,0,0,263,yahoo.com,0,1,False,False,2014,05,week4,Tuesday
115,ORG_INVITE,0,0,0,cuvox.de,0,1,False,False,2012,09,week1,Tuesday
116,GUEST_INVITE,0,0,39,hotmail.com,0,1,False,False,2013,08,week1,Sunday
117,GUEST_INVITE,1,1,12,yahoo.com,0,0,False,False,2014,01,week1,Saturday
118,SIGNUP,0,0,184,jourrapide.com,0,1,False,uninvited,2012,09,week4,Monday
119,GUEST_INVITE,1,0,86,lyoxx.com,0,0,False,False,2013,03,week2,Monday
120,GUEST_INVITE,1,0,402,cuvox.de,0,1,False,False,2013,01,week1,Thursday
121,GUEST_INVITE,0,0,42,hotmail.com,0,0,False,True,2013,03,week3,Monday
122,SIGNUP,0,0,103,jourrapide.com,0,1,False,uninvited,2014,03,week3,Saturday
123,PERSONAL_PROJECTS,0,0,373,jourrapide.com,0,1,False,uninvited,2013,05,week1,Wednesday
124,ORG_INVITE,0,0,268,yahoo.com,0,1,False,True,2013,05,week4,Sunday
125,ORG_INVITE,1,1,112,gmail.com,0,5,False,False,2013,08,week2,Friday
126,SIGNUP,0,0,30,apagc.com,0,1,False,uninvited,2013,03,week2,Monday
127,SIGNUP,0,1,53,jourrapide.com,0,2,False,uninvited,2014,04,week2,Thursday
128,PERSONAL_PROJECTS,0,0,193,wgobo.com,0,0,False,uninvited,2013,01,week3,Monday
129,PERSONAL_PROJECTS,0,0,406,yahoo.com,0,0,False,uninvited,2012,07,week1,Tuesday
130,PERSONAL_PROJECTS,0,0,48,gmail.com,0,0,False,uninvited,2013,02,week1,Thursday
131,GUEST_INVITE,0,0,263,gmail.com,0,1,False,False,2013,08,week3,Thursday
132,SIGNUP,0,0,249,gmail.com,0,72,True,uninvited,2013,09,week2,Thursday
133,PERSONAL_PROJECTS,0,0,4,jourrapide.com,0,0,False,uninvited,2013,05,week5,Wednesday
134,ORG_INVITE,0,0,313,mxecy.com,0,24,True,False,2014,01,week4,Thursday
135,SIGNUP_GOOGLE_AUTH,1,0,92,gmail.com,1,6,False,uninvited,2014,04,week1,Wednesday
136,PERSONAL_PROJECTS,0,0,9,hotmail.com,0,0,False,uninvited,2012,11,week3,Thursday
137,SIGNUP_GOOGLE_AUTH,0,0,138,gmail.com,0,1,False,uninvited,2013,07,week1,Thursday
138,ORG_INVITE,0,0,261,yahoo.com,0,1,False,False,2014,03,week5,Saturday
139,GUEST_INVITE,0,1,35,cuvox.de,0,1,False,False,2013,06,week1,Monday
140,ORG_INVITE,0,0,264,jourrapide.com,0,20,True,False,2013,09,week3,Wednesday
141,PERSONAL_PROJECTS,0,0,95,yahoo.com,0,4,False,uninvited,2014,03,week1,Monday
142,GUEST_INVITE,0,0,325,gustr.com,0,1,False,False,2012,06,week5,Saturday
143,SIGNUP,1,0,55,pdtom.com,0,1,False,uninvited,2013,02,week3,Saturday
144,GUEST_INVITE,1,0,254,hotmail.com,0,0,False,False,2013,07,week4,Thursday
145,ORG_INVITE,0,0,60,cuvox.de,0,111,True,False,2013,03,week2,Wednesday
146,ORG_INVITE,0,0,1,cuvox.de,0,1,False,False,2012,09,week2,Thursday
147,PERSONAL_PROJECTS,0,0,2,hotmail.com,0,0,False,uninvited,2014,03,week5,Saturday
148,ORG_INVITE,0,0,63,gustr.com,0,0,False,False,2012,09,week2,Thursday
149,SIGNUP,0,0,10,yahoo.com,1,1,False,uninvited,2014,05,week5,Friday
150,SIGNUP,0,0,11,yahoo.com,0,1,False,uninvited,2013,04,week2,Friday
151,GUEST_INVITE,1,1,234,jourrapide.com,0,0,False,False,2013,10,week3,Tuesday
152,SIGNUP,0,0,64,gustr.com,0,157,True,uninvited,2013,04,week4,Sunday
153,ORG_INVITE,0,0,28,yahoo.com,0,1,False,False,2014,05,week2,Tuesday
154,GUEST_INVITE,0,0,410,yahoo.com,0,1,False,False,2013,04,week3,Sunday
155,SIGNUP,1,0,170,jourrapide.com,0,1,False,uninvited,2014,03,week1,Thursday
156,ORG_INVITE,0,0,118,gustr.com,0,0,False,True,2014,02,week3,Saturday
157,SIGNUP,0,0,42,yahoo.com,0,1,False,uninvited,2013,12,week4,Thursday
158,ORG_INVITE,0,0,374,iaery.com,0,1,False,False,2014,05,week3,Sunday
159,ORG_INVITE,1,1,15,gustr.com,0,147,True,False,2013,04,week4,Friday
160,SIGNUP_GOOGLE_AUTH,1,0,17,gmail.com,0,1,False,uninvited,2014,05,week3,Monday
161,GUEST_INVITE,0,0,15,gustr.com,0,1,False,False,2014,02,week3,Wednesday
162,PERSONAL_PROJECTS,0,0,1,gmail.com,0,0,False,uninvited,2014,05,week3,Tuesday
163,SIGNUP,0,1,364,gmail.com,0,1,False,uninvited,2013,04,week5,Tuesday
164,SIGNUP_GOOGLE_AUTH,0,0,62,gmail.com,0,17,True,uninvited,2012,12,week4,Friday
165,PERSONAL_PROJECTS,1,0,244,gmail.com,0,0,False,uninvited,2014,03,week3,Monday
166,PERSONAL_PROJECTS,1,0,342,jourrapide.com,0,1,False,uninvited,2014,02,week4,Saturday
167,ORG_INVITE,0,0,225,gustr.com,0,319,True,True,2012,12,week3,Saturday
168,ORG_INVITE,0,0,88,erayt.com,0,0,False,False,2013,04,week2,Tuesday
169,ORG_INVITE,1,1,134,gmail.com,0,0,False,False,2014,01,week1,Monday
170,SIGNUP,0,0,121,hotmail.com,0,4,False,uninvited,2014,04,week3,Saturday
171,ORG_INVITE,0,0,255,gmail.com,0,13,True,False,2013,06,week3,Sunday
172,PERSONAL_PROJECTS,1,0,7,cuvox.de,0,1,False,uninvited,2013,10,week4,Thursday
173,GUEST_INVITE,0,0,411,jourrapide.com,0,22,True,False,2013,06,week3,Monday
174,PERSONAL_PROJECTS,0,0,217,cuvox.de,0,1,False,uninvited,2012,08,week2,Tuesday
175,SIGNUP_GOOGLE_AUTH,0,0,109,gmail.com,0,1,False,uninvited,2013,04,week2,Monday
176,PERSONAL_PROJECTS,0,0,165,gustr.com,0,0,False,uninvited,2012,11,week1,Saturday
177,ORG_INVITE,0,0,415,gmail.com,0,1,False,False,2012,06,week2,Friday
178,ORG_INVITE,0,0,11,yahoo.com,0,1,False,False,2013,04,week2,Sunday
179,SIGNUP,0,0,104,yahoo.com,0,1,False,uninvited,2014,01,week2,Saturday
180,SIGNUP,0,0,329,hotmail.com,0,1,False,uninvited,2012,10,week1,Tuesday
181,ORG_INVITE,0,0,139,yahoo.com,0,1,False,False,2013,11,week3,Tuesday
182,PERSONAL_PROJECTS,0,0,278,yahoo.com,0,1,False,uninvited,2014,05,week2,Thursday
183,SIGNUP,0,0,30,yahoo.com,0,1,False,uninvited,2014,01,week4,Tuesday
184,GUEST_INVITE,0,0,116,cuvox.de,0,56,True,False,2014,01,week4,Saturday
185,ORG_INVITE,1,1,151,cuvox.de,0,0,False,False,2014,03,week4,Wednesday
186,ORG_INVITE,0,0,290,hotmail.com,0,1,False,False,2014,05,week4,Wednesday
